"scss/description_auto/nav--primary__level0-list-separator_color","Navigation background color Level 1"
"scss/description_auto/nav--primary__level1-link_font",""
"scss/description_auto/nav--primary__level1-link_font-size","12px"
"scss/description_auto/nav--primary__level1-link_font-weight","700"
"scss/description_auto/nav--primary__level1-link_line-height","113% from Navigation second level text"
"scss/description_auto/nav--primary__level1-link_text-transform","uppercase"
"scss/description_auto/nav--primary__level2_background-color","Navigation Second Level > Background Color"
"scss/description_auto/nav--primary__level2-link_color","Navigation Second Level > Text Color"
"scss/description_auto/nav--primary__level2-link_font",""
"scss/description_auto/nav--primary__level2-link_font-size","Navigation Second Level Font Size"
"scss/description_auto/nav--primary__level2-link_font-weight","Navigation Second Level Font Weight"
"scss/description_auto/nav--primary__level2-link_padding",""
"scss/description_auto/nav--primary__level2-link_padding-right",""
"scss/description_auto/nav--primary__level2-link_padding-top",""
"scss/description_auto/nav--primary__level2-link_text-transform","Navigation Second Level Text Transform"
"scss/description_auto/nav--primary__level3_background-color","Navigation Third Level > Background Color"
"scss/description_auto/nav--primary__level3-link_color","Navigation Third Level > Text Color"
"scss/description_auto/nav--primary__level3-link_font",""
"scss/description_auto/nav--primary__level3-link_font-size","Navigation Third Level Font Size"
"scss/description_auto/nav--primary__level3-link_font-weight","Navigation Third Level Font Weight"
"scss/description_auto/nav--primary__level3-link_padding",""
"scss/description_auto/nav--primary__level3-link_padding-right",""
"scss/description_auto/nav--primary__level3-link_padding-top",""
"scss/description_auto/nav--primary__level3-link_text-transform","Navigation Third Level Text Transform"
"scss/description_auto/nav--primary__level4_background-color","Navigation Fourth Level > Background Color"
"scss/description_auto/nav--primary__level4-link_color","Navigation Fourth Level > Text Color"
"scss/description_auto/nav--primary__level4-link_font",""
"scss/description_auto/nav--primary__level4-link_font-size","Navigation Fourth Level > Font Size"
"scss/description_auto/nav--primary__level4-link_font-weight","Navigation Fourth Level > Font Weight"
"scss/description_auto/nav--primary__level4-link_padding",""
"scss/description_auto/nav--primary__level4-link_padding-right",""
"scss/description_auto/nav--primary__level4-link_padding-top",""
"scss/description_auto/nav--primary__level4-link_text-transform","Navigation Fourth Level > Text Transform"
"scss/description_auto/nav--primary__submenu_background-color","36% lighten from Fourth color"
"scss/description_auto/nav--primary__submenu_color","18% lighten from Primary color"
"scss/description_auto/nav--primary__ul-level0-link_padding",""
"scss/description_auto/nav--primary_background-color","18% lighten from Primary color"
"scss/description_auto/page_background-color","Secondary color"
"scss/description_auto/page_color","Primary color"
"scss/description_auto/page_size",""
"scss/description_auto/page-container_background-color","Secondary color"
"scss/description_auto/page-footer__link--hover_color","35% opacity on Primary color"
"scss/description_auto/page-footer__marketing-box--newsletter_color","Primary color"
"scss/description_auto/page-footer__marketing-box--shipping_color","Primary color"
"scss/description_auto/page-footer__marketing-box--support_color","Primary color"
"scss/description_auto/page-footer_background-color","Page > Container Background Color"
"scss/description_auto/page-footer_color","Page > Container Text Color"
"scss/description_auto/page-footer_link-color","35% opacity on Primary color"
"scss/description_auto/page-header_background-color","Page > Container Background Color"
"scss/description_auto/page-header_color","Page > Container Text Color"
"scss/description_auto/page-header_link_color","35% darken from Secondary color"
"scss/description_auto/page-main_background-color","Secondary color"
"scss/description_auto/page-main_color","Primary color"
"scss/description_auto/page-subtitle_color","color Primary with 15% opacity"
"scss/description_auto/page-subtitle_font",""
"scss/description_auto/page-subtitle_font-size","42px"
"scss/description_auto/page-title_color","Primary color"
